M_F,M,F
8.552585618113906e-124,2.47180917044004e-61,1.2669150593492551e-64
2.021395023607676e-61,8.810832592963105e-42,2.4693930788208782e-23
1.0658280488301565e-85,1.353082161486113e-43,5.823830307411128e-44
1.0439382149967858e-07,0.0002520140465787837,0.0001121321519554662
6.386860456279092e-36,1.7742607065138835e-14,1.8731224275074871e-23
2.0323070501428142e-94,1.8767379100142376e-55,9.297035858660497e-42
1.9406042749323776e-06,0.2909675149732701,2.5642877483818053e-08
4.0199214783907297e-28,2.790713468306296e-09,3.186169575023953e-21
9.679952077977205e-19,2.7016661002579837e-12,3.5797552537902294e-08
2.4398480461644335e-16,8.643350001953142e-15,0.00011222185630317593
1.107690028545787e-11,1.498512658356896e-06,1.6942446179519092e-06
1.0968714309637423e-55,1.6573633452520126e-21,2.0353782750352416e-36
0.8026126476670543,0.22414324073462386,0.11573919875525328
3.2728908241875436e-40,2.3121415716850677e-11,3.3724028728998735e-33
5.621054496600586e-31,8.853195174925776e-09,5.41646758091531e-26
0.004524043027420423,0.019547592229042926,0.08426460060487895
0.10316061703344583,0.5964410786501859,0.07954271009766092
3.571010425841916e-56,4.613455477637807e-38,5.335974912330171e-22
2.7953427836368004e-13,2.794830684752804e-06,1.9832588086904397e-08
4.1393413441182906e-117,2.7319076850714954e-62,1.1588741238115611e-57
1.3960631437731842e-72,1.4700440353613115e-36,9.790767932325951e-38
0.003585364426473802,0.0012061174777954085,0.36400394698061067
5.179226351457607e-163,3.4713272657294967e-81,8.795028807170002e-84
4.968337118452256e-06,0.00011939857772357605,0.009904692033380047
4.016437758291802e-15,9.660999114838335e-06,3.9524401813775036e-11
9.681658565681574e-24,1.538326186049479e-07,1.1440497609434795e-18
2.8662811572613314e-07,4.630392483000593e-06,0.007374475596657942
7.24601681232446e-41,3.785829606245582e-21,2.487164289990479e-21
3.2482111312939836e-46,1.217815790255159e-21,1.878314081497836e-26
1.8941129973242367e-99,1.7020450037114073e-49,5.773605981569877e-52
0.3859202273259864,0.0003791192204638764,0.033339365198581085
2.9929495882859224e-78,1.5527865955961947e-34,9.816189164617895e-46
4.069971699013494e-45,6.960946742367689e-21,6.460924407538881e-26
2.288712088530423e-83,4.189144602257346e-54,5.4425383565928686e-33
2.4720093387454234e-11,1.5104666109689785e-08,0.00016544553477476463
6.731794350636661e-120,3.668320428275512e-59,8.607768436544602e-63
5.336290779721494e-125,7.321986039368281e-52,1.9543525103530087e-75
2.7458955662359375e-30,9.511607348474157e-21,5.801934717008602e-12
6.440413999136264e-40,8.73705597046089e-24,3.6852992771188785e-18
1.8807735858418357e-57,1.108068742217694e-24,1.7081477848764243e-34
7.767669438635215e-73,5.303437341530518e-50,3.3357540214909686e-27
0.004397929827623225,0.01625496273803007,0.10997461367882298
1.867258933746946e-68,1.9161669728207118e-33,1.1037510693912944e-36
0.0508380887612016,0.031240190534076933,0.5044946504212284
5.363982902391226e-16,0.0005107431582669229,1.1780497837316283e-15
3.9216364958812463e-31,8.778335471571949e-21,1.2353853331386783e-12
0.00010701873557971759,3.706934005634718e-07,0.6147165350917208
0.0826288597583276,0.3907959384960704,0.10743949907425318
1.3481006988315572e-19,1.3420680047731327e-06,2.747197097643785e-15
0.5791332543313961,0.9573663251398379,0.4086550889098781
1.5465193634133813e-44,9.86601851686179e-27,4.5278393976621546e-20
5.943917677829791e-13,2.1301889406412608e-07,5.4263411561928e-07
6.162685645582391e-22,8.851377195626697e-13,8.583685926411041e-11
0.0002798581624949975,0.010889125964308539,0.009631860415144033
3.423914970520344e-42,2.204164600014009e-22,1.858782934396131e-21
4.588028754151676e-37,8.71266546003705e-22,3.347480020042559e-17
3.707450715584882e-18,2.4472598799606267e-11,1.2812552751951206e-08
2.2033681141953073e-06,0.004630531040269176,0.00012395003311794632
3.4258653320581136e-05,0.1163859762157878,2.0739317629070607e-05
7.215195802557349e-29,3.17383613294831e-13,2.761627118340432e-17
9.722973621089546e-05,0.24995557125980114,1.0511820758761638e-05
8.791910393266727e-25,5.4094901862582155e-11,1.7763598671402612e-15
4.74095702272013e-46,1.4980979078658273e-27,9.52560389965347e-21
0.002380833450315838,0.2542859062471935,0.0013277122422608622
0.0019075921461929285,0.0893823452797278,0.006667470869495459
0.08849224969605018,0.020290146700106794,0.8507064773324292
0.3696683248845788,0.5323389129663896,0.5193692432545819
9.320182962275931e-80,6.934415632457657e-27,1.2885373937637714e-56
1.430493684844584e-37,1.349287995345952e-24,4.059284774433151e-15
4.384087193512892e-75,1.9800650434293335e-41,1.2043588118394735e-35
0.005926664670433432,0.0012413801990598652,0.47056671561506236
5.234199426375347e-59,2.09227595222862e-33,1.4574972299455247e-27
6.415370867995496e-20,3.418145151507466e-15,3.4988522164982647e-07
1.3298789470233014e-86,2.632267135066073e-38,3.799874422864413e-50
9.384547529976308e-20,2.1336183617853412e-11,7.497552562323769e-10
4.615278898571095e-84,3.234370623914046e-45,8.562502525322515e-41
2.260453337655226e-52,5.744060461570324e-23,2.887420121460894e-31
0.002124561932313028,3.930631156105721e-05,0.7945458781455559
5.331687658755479e-23,1.4539015769973453e-10,5.0567036531971434e-14
7.507556008276306e-24,5.785820071258971e-11,1.7340416830567066e-14
4.771986430603503e-19,5.122266525649495e-13,6.665588573014878e-08
4.132494538334947e-20,5.546320616494271e-06,1.0004593467232367e-16
2.0763374356879916e-76,1.074376504786596e-51,1.0194017505328049e-28
2.5537143498738143e-134,4.614157987811914e-66,4.12035816303144e-70
1.516161426292149e-07,7.81412692466781e-08,0.03717933901942388
5.647540072472451e-80,3.055590614423051e-44,7.363817090103614e-38
2.468403165826096e-07,5.517120536079411e-05,0.0011048508174319727
1.8402459166009256e-26,1.4662715857360295e-09,3.8376110484198994e-19
2.0023949898989488e-186,6.51140746437403e-89,2.3246094314243913e-99
4.1056428321876334e-16,1.601247814774779e-08,4.970680303277663e-09
1.2701195431350224e-35,1.2970806311529204e-17,1.1125054608655325e-19
1.596287576921775e-137,6.147125999145669e-70,1.4289407134562062e-69
2.825821713819139e-125,4.4386949349113243e-44,1.7813428313885859e-87
0.8858395171138347,0.8031849577527699,0.9625886958981699
2.375182393399511e-06,0.00017146211143474524,0.0033168302218888907
0.014052763480177765,0.034755626707420474,0.15973457318202303
2.2019151278224867e-06,0.0047602800619629656,0.00011915887549658913
0.6503572217543956,0.6101256369414005,0.8805465966267798
6.941630769523175e-13,5.64793335758873e-08,1.9352744642538977e-06
1.0777258884338156e-07,0.002542263436586819,8.836055708176045e-06
0.970745052350665,0.5724167323752225,0.5806034373744962
0.609431056156657,0.19123604726808466,0.6225077047314533
1.3994316578277716e-47,6.671241252491236e-30,2.996733081851995e-20
1.3732526627862978e-05,6.4610708530934895e-06,0.1056499712279985
9.576213566928347e-47,3.915753596302815e-24,2.7201406588098616e-24
9.963834081277309e-19,2.3020638005901907e-09,7.414699368195954e-11
1.1978229226090251e-129,1.5656096357536652e-62,6.027160782571192e-69
9.635140171092138e-49,9.87650874572957e-22,3.0306476689502085e-29
0.02359199017342325,0.43560898685881533,0.015902703032014746
0.0022235453686948715,0.002216833503297807,0.18900501690344404
0.9458901666510002,0.09734257299677182,0.07546188766767219
1.969627339480701e-17,1.588852339374307e-08,2.3211237966165448e-10
4.62868252122417e-30,3.503638894630376e-15,2.0005512453108952e-16
8.948030899633277e-18,8.998969387240587e-09,1.8272016934835595e-10
0.0006105638188870047,0.007354954883101842,0.028327783791055956
6.086534813015907e-57,4.772445620986273e-25,1.1480544759360283e-33
0.45946413736585323,0.2394888543501077,0.8897977590047729
2.0362808111939788e-08,0.09640199409924145,6.591755012734561e-10
0.04218939004363787,0.08763567702286881,0.23166667757316084
0.0003720563251537384,0.0012398043939970801,0.06257034231373264
1.0487699127517379e-06,9.598020422838176e-05,0.0025301052289637177
4.257523514304327e-43,1.7938082150324876e-22,2.5095089888838218e-22
2.2045846055749426e-12,1.5523543146608068e-07,2.6261280597297608e-06
5.388946902995156e-11,2.97702668916346e-05,3.77365602296103e-07
1.0489997401992371e-103,4.3194086195758865e-47,2.3518903416709114e-58
0.0557213345263999,0.002881749858679904,0.8061760713136865
1.726701597078712e-10,1.5737048982072044e-06,2.30783068673017e-05
3.18219936690359e-60,1.3335775150045512e-20,2.934319568776921e-42
0.0012495774291132113,0.0073257089623653725,0.05422872945538554
0.22732415211794219,0.4114494825454217,0.37691623708799615
0.0010292682058421433,0.18381508236544855,0.0008129207818168664
2.002003513737746e-60,1.922052388362133e-26,5.940465794215631e-36
1.3752076119609848e-25,4.600177784072258e-09,1.058278646827125e-18
3.0321636520445366e-23,3.0542243597608496e-08,8.843152434031592e-18
2.5561664063877855e-16,8.95932963237626e-09,5.602637539956687e-09
2.414242044711498e-58,6.232992742779743e-29,3.9679278718360705e-31
6.799002331930931e-49,5.696740579825556e-21,9.988612867287843e-30
2.1495517117440533e-135,1.636557159048919e-66,7.820685336482245e-71
7.751489497258151e-50,7.237945764455795e-17,2.408622015145703e-35
5.674021534922605e-13,1.8120032340048725e-07,5.469278140545293e-07
0.014265069585338885,0.0350168518412031,0.17045680108292918
0.024033082092302028,6.302110706369454e-05,0.4089378202324624
4.097745862193706e-08,0.1955976314402513,5.885516634585451e-10
0.0004772511295267023,0.4356179005749091,6.477813000252259e-05
3.478644833394391e-26,1.3220691710714888e-20,1.8554691097161525e-08
4.170768673683279e-38,3.0773944523823642e-22,1.2785699689133003e-17
1.1486658939119803e-32,8.928481974853612e-17,1.3723219983255881e-17
1.705463523969527e-62,1.5632964053242116e-23,1.2377797199885438e-41
3.137871485027737e-88,8.36108824942142e-35,1.1228941341971215e-55
6.320416557471662e-75,1.0084323913570594e-39,2.947985277857308e-37
3.487970585216887e-11,0.007237048942190029,2.2912197054435864e-11
1.6485404875437187e-59,4.603996978339543e-30,4.043579224391383e-31
3.2907679352344983e-110,1.280522780002218e-46,1.323131637653845e-65
2.798920784910791e-72,4.335514282782893e-33,4.807997931190858e-41
1.426331734818668e-05,0.0030021991968300285,0.0015559253843732742
0.9755149826632004,0.35114927739659163,0.3967584205390763
2.5200727228387535e-34,1.1092169474097857e-09,4.078366353062723e-28
7.535975687879269e-79,1.3663741854670533e-31,1.9773667808863954e-49
3.0603445886355133e-06,0.015229709473663892,3.290493917053566e-05
2.9921226746783243e-36,1.0901523340059105e-11,2.352115319407821e-27
0.00016260370224918712,0.5224073343740652,4.352423043315593e-06
9.399807425777237e-08,0.000629626829108483,3.88352645068924e-05
0.0009794500527439182,0.017321040021600013,0.02259033236121712
4.0477685332596044e-11,2.845985107366312e-06,3.1856897032847554e-06
0.006871078421229653,0.004189810006931474,0.3120884185064879
2.1149066514566052e-30,1.7689288863862735e-24,1.5284675068227003e-09
1.2780646927607383e-81,6.533753270066576e-32,1.6003004311843567e-52
1.6534260554081047e-09,8.189450148708525e-06,5.06571969021764e-05
3.801578023886371e-66,1.579480155299912e-35,1.8384236365675043e-32
4.355425903262196e-45,7.055161396953973e-31,1.9614229520574064e-17
2.4748266525715684e-12,5.121970189530396e-10,0.00015747701226302536
1.5509275473466119e-38,2.645954669519026e-21,4.975135170622286e-19
0.0008804591837207734,0.5941836468029604,5.461152529878995e-05
4.142306571178037e-19,1.0811199179257176e-15,2.6694113087941185e-06
